question	context	answer
How do Piedmont glaciers appear?	Alpine glaciers can be straight rivers of ice, long sweeping rivers, spread in a fan-like shape (Piedmont glaciers), and curtains of ice that hang from vertical slopes of the mountain peaks. The stress of the movement causes the ice to break and crack loudly, perhaps explaining why the mountains were believed to be home to dragons in the medieval period. The cracking creates unpredictable and dangerous crevasses, often invisible under new snowfall, which cause the greatest danger to mountaineers.	spread in a fan-like shape
What area in US discontinued using overhead wires for streetcars in 1962?	"Some street trams (streetcars) used conduit third-rail current collection. The third rail was below street level. The tram picked up the current through a plough (U.S. ""plow"") accessed through a narrow slot in the road. In the United States, much (though not all) of the former streetcar system in Washington, D.C. (discontinued in 1962) was operated in this manner to avoid the unsightly wires and poles associated with electric traction. The same was true with Manhattan's former streetcar system. The evidence of this mode of running can still be seen on the track down the slope on the northern access to the abandoned Kingsway Tramway Subway in central London, United Kingdom, where the slot between the running rails is clearly visible, and on P and Q Streets west of Wisconsin Avenue in the Georgetown neighborhood of Washington DC, where the abandoned tracks have not been paved over. The slot can easily be confused with the similar looking slot for cable trams/cars (in some cases, the conduit slot was originally a cable slot). The disadvantage of conduit collection included much higher initial installation costs, higher maintenance costs, and problems with leaves and snow getting in the slot. For this reason, in Washington, D.C. cars on some lines converted to overhead wire on leaving the city center, a worker in a ""plough pit"" disconnecting the plough while another raised the trolley pole (hitherto hooked down to the roof) to the overhead wire. In New York City for the same reasons of cost and operating efficiency outside of Manhattan overhead wire was used. A similar system of changeover from conduit to overhead wire was also used on the London tramways, notably on the southern side; a typical changeover point was at Norwood, where the conduit snaked sideways from between the running rails, to provide a park for detached shoes or ploughs."	Washington, D.C.
What was a great concern of many Chinese troops?	On 1 March 1951 Mao sent a cable to Stalin, in which he emphasized the difficulties faced by Chinese forces and the urgent need for air cover, especially over supply lines. Apparently impressed by the Chinese war effort, Stalin finally agreed to supply two air force divisions, three anti-aircraft divisions, and six thousand trucks. PVA troops in Korea continued to suffer severe logistical problems throughout the war. In late April Peng Dehuai sent his deputy, Hong Xuezhi, to brief Zhou Enlai in Beijing. What Chinese soldiers feared, Hong said, was not the enemy, but that they had nothing to eat, no bullets to shoot, and no trucks to transport them to the rear when they were wounded. Zhou attempted to respond to the PVA's logistical concerns by increasing Chinese production and improving methods of supply, but these efforts were never completely sufficient. At the same time, large-scale air defense training programs were carried out, and the Chinese Air Force began to participate in the war from September 1951 onward.	they had nothing to eat
Who wrote the Communist Manifesto?	Karl Marx published the Communist Manifesto in February 1848, with little attention. However, a few days later the French Revolution of 1848 broke out, which replaced the monarchy of Louis Philippe with the Second French Republic. In June 1848, Paris workers, disenchanted with the new government, built barricades and raised red flags. The new government called in the French Army to put down the uprising, the first of many such confrontations between the army and the new worker's movements in Europe.	Karl Marx
For what kind of applications are non-woven reinforcement materials better than woven ones?	The reinforcement type defines two major classes of materials - woven and non-woven. Woven reinforcements are cheaper, but the high dielectric constant of glass may not be favorable for many higher-frequency applications. The spatially nonhomogeneous structure also introduces local variations in electrical parameters, due to different resin/glass ratio at different areas of the weave pattern. Nonwoven reinforcements, or materials with low or no reinforcement, are more expensive but more suitable for some RF/analog applications.	RF/analog
What is the volatage surge of the third rail of London Underground system?	The London Underground in England is one of the few networks that uses a four-rail system. The additional rail carries the electrical return that, on third rail and overhead networks, is provided by the running rails. On the London Underground, a top-contact third rail is beside the track, energized at +420v DC, and a top-contact fourth rail is located centrally between the running rails at −210v DC, which combine to provide a traction voltage of 630v DC. London Underground is now upgrading its fourth rail system to 750v DC with a positive conductor rail energised to +500v DC and a negative conductor rail energised to -250v DC. However, many older sections in tunnels are still energised to 630v DC. The same system was used for Milan's earliest underground line, Milan Metro's line 1, whose more recent lines use an overhead catenary or a third rail.	+420v DC
What is being caused by links between soverign debt and failing national banks?	"The European Central Bank had stepped up the buying of member nations debt. In response to the crisis of 2010, some proposals have surfaced for a collective European bond issue that would allow the central bank to purchase a European version of US Treasury bills. To make European sovereign debt assets more similar to a US Treasury, a collective guarantee of the member states' solvency would be necessary.[b] But the German government has resisted this proposal, and other analyses indicate that ""the sickness of the euro"" is due to the linkage between sovereign debt and failing national banking systems. If the European central bank were to deal directly with failing banking systems sovereign debt would not look as leveraged relative to national income in the financially weaker member states."	the sickness of the euro
How long did ground combat operations last in the Persian Gulf War?	After just 100 hours of ground combat, and with all of Kuwait and much of southern Iraq under coalition control, US President George H. W. Bush ordered a cease-fire and negotiations began resulting in an agreement for cessation of hostilities. Some US politicians were disappointed by this move, believing Bush should have pressed on to Baghdad and removed Hussein from power; there is little doubt that coalition forces could have accomplished this if they had desired. Still, the political ramifications of removing Hussein would have broadened the scope of the conflict greatly, and many coalition nations refused to participate in such an action, believing it would create a power vacuum and destabilize the region.	100 hours
What force used Sunderland flying boats out of Devonport?	In the First World War, Devonport was the headquarters of Western Approaches Command until 1941 and Sunderland flying boats were operated by the Royal Australian Air Force. It was an important embarkation point for US troops for D-Day. The city was heavily bombed by the Luftwaffe, in a series of 59 raids known as the Plymouth Blitz. Although the dockyards were the principal targets, much of the city centre and over 3,700 houses were completely destroyed and more than 1,000 civilians lost their lives. This was largely due to Plymouth's status as a major port Charles Church was hit by incendiary bombs and partially destroyed in 1941 during the Blitz, but has not been demolished, as it is now an official permanent monument to the bombing of Plymouth during World War II.	Royal Australian Air Force
What was a typical recording time of a song in 1948?	"In January 1938, Milt Gabler started recording for his new label, Commodore Records, and to allow for longer continuous performances, he recorded some 12-inch records. Eddie Condon explained: ""Gabler realized that a jam session needs room for development."" The first two 12-inch recordings did not take advantage of the extra length: ""Carnegie Drag"" was 3:15; ""Carnegie Jump"", 2:41. But at the second session, on April 30, the two 12-inch recordings were longer: ""Embraceable You"" was 4:05; ""Serenade to a Shylock"", 4:32. Another way around the time limitation was to issue a selection on both sides of a single record. Vaudeville stars Gallagher and Shean recorded ""Mr. Gallagher and Mr. Shean"", written by Irving and Jack Kaufman, as two sides of a 10-inch 78 in 1922 for Cameo. An obvious workaround for longer recordings was to release a set of records. An early multi-record release was in 1903, when HMV in England made the first complete recording of an opera, Verdi's Ernani, on 40 single-sided discs. In 1940, Commodore released Eddie Condon and his Band's recording of ""A Good Man Is Hard to Find"" in four parts, issued on both sides of two 12-inch 78s. This limitation on the duration of recordings persisted from 1910 until the invention of the LP record, in 1948. In popular music, this time limitation of about 3:30 on a 10-inch 78 rpm record meant that singers usually did not release long pieces on record. One exception is Frank Sinatra's recording of Rodgers and Hammerstein's ""Soliloquy"", from Carousel, made on May 28, 1946. Because it ran 7:57, longer than both sides of a standard 78 rpm 10-inch record, it was released on Columbia's Masterwork label (the classical division) as two sides of a 12-inch record. The same was true of John Raitt's performance of the song on the original cast album of Carousel, which had been issued on a 78-rpm album set by American Decca in 1945."	about 3:30
What did Tito offer to the retreating column?	"In the final days of World War II in Yugoslavia, units of the Partisans were responsible for atrocities after the repatriations of Bleiburg, and accusations of culpability were later raised at the Yugoslav leadership under Tito. At the time, Josip Broz Tito repeatedly issued calls for surrender to the retreating column, offering amnesty and attempting to avoid a disorderly surrender. On 14 May he dispatched a telegram to the supreme headquarters Slovene Partisan Army prohibiting ""in the sternest language"" the execution of prisoners of war and commanding the transfer of the possible suspects to a military court."	amnesty
Under Von Neumann's approach can a class of all sets that do not belong to themselves be constructed?	The second approach to the problem took as its base the notion of class, and defines a set as a class which belongs to other classes, while a proper class is defined as a class which does not belong to other classes. Under the Zermelo–Fraenkel approach, the axioms impede the construction of a set of all sets which do not belong to themselves. In contrast, under the von Neumann approach, the class of all sets which do not belong to themselves can be constructed, but it is a proper class and not a set.	class of all sets which do not belong to themselves can be constructed, but it is a proper class and not a set.
What happens when European Leagues sell their televsion rights individually?	The Premier League sells its television rights on a collective basis. This is in contrast to some other European Leagues, including La Liga, in which each club sells its rights individually, leading to a much higher share of the total income going to the top few clubs. The money is divided into three parts: half is divided equally between the clubs; one quarter is awarded on a merit basis based on final league position, the top club getting twenty times as much as the bottom club, and equal steps all the way down the table; the final quarter is paid out as facilities fees for games that are shown on television, with the top clubs generally receiving the largest shares of this. The income from overseas rights is divided equally between the twenty clubs.	a much higher share of the total income going to the top few clubs
What did the movement seek to make the official language of Moldova?	"Beginning in February 1988, the Democratic Movement of Moldova (formerly Moldavia) organized public meetings, demonstrations, and song festivals, which gradually grew in size and intensity. In the streets, the center of public manifestations was the Stephen the Great Monument in Chişinău, and the adjacent park harboring Aleea Clasicilor (The ""Alee of the Classics [of the Literature]""). On January 15, 1988, in a tribute to Mihai Eminescu at his bust on the Aleea Clasicilor, Anatol Şalaru submitted a proposal to continue the meetings. In the public discourse, the movement called for national awakening, freedom of speech, revival of Moldavian traditions, and for attainment of official status for the Romanian language and return to the Latin alphabet. The transition from ""movement"" (an informal association) to ""front"" (a formal association) was seen as a natural ""upgrade"" once a movement gained momentum with the public, and the Soviet authorities no longer dared to crack down on it."	Romanian
What larvae live like plankton?	Although many species can reproduce asexually and use similar mechanisms to regenerate after severe injuries, sexual reproduction is the normal method in species whose reproduction has been studied. The minority of living polychaetes whose reproduction and lifecycles are known produce trochophore larvae, that live as plankton and then sink and metamorphose into miniature adults. Oligochaetes are full hermaphrodites and produce a ring-like cocoon around their bodies, in which the eggs and hatchlings are nourished until they are ready to emerge.	trochophore
What percentage of Melburnians speak only English at home?	Over two-thirds of Melburnians speak only English at home (68.1%). Chinese (mainly Cantonese and Mandarin) is the second-most-common language spoken at home (3.6%), with Greek third, Italian fourth and Vietnamese fifth, each with more than 100,000 speakers. Although Victoria's net interstate migration has fluctuated, the population of the Melbourne statistical division has grown by about 70,000 people a year since 2005. Melbourne has now attracted the largest proportion of international overseas immigrants (48,000) finding it outpacing Sydney's international migrant intake on percentage, along with having strong interstate migration from Sydney and other capitals due to more affordable housing and cost of living.	68.1%
What kind of sample can display a good example of compression artifacts?	With too low a bit rate, compression artifacts (i.e., sounds that were not present in the original recording) may be audible in the reproduction. Some audio is hard to compress because of its randomness and sharp attacks. When this type of audio is compressed, artifacts such as ringing or pre-echo are usually heard. A sample of applause compressed with a relatively low bit rate provides a good example of compression artifacts.	A sample of applause
New Haven, in terms of food is best known for what?	"New Haven's greatest culinary claim to fame may be its pizza, which has been claimed to be among the best in the country, or even in the world. New Haven-style pizza, called ""apizza"" (pronounced ah-BEETS, [aˈpitts] in the original Italian dialect), made its debut at the iconic Frank Pepe Pizzeria Napoletana (known as Pepe's) in 1925. Apizza is baked in coal- or wood-fired brick ovens, and is notable for its thin crust. Apizza may be red (with a tomato-based sauce) or white (with a sauce of garlic and olive oil), and pies ordered ""plain"" are made without the otherwise customary mozzarella cheese (originally smoked mozzarella, known as ""scamorza"" in Italian). A white clam pie is a well-known specialty of the restaurants on Wooster Street in the Little Italy section of New Haven, including Pepe's and Sally's Apizza (which opened in 1938). Modern Apizza on State Street, which opened in 1934, is also well-known."	pizza
When did the U.S. Senate first pass a financial reform bill?	The U.S. Senate passed a reform bill in May 2010, following the House which passed a bill in December 2009. These bills must now be reconciled. The New York Times provided a comparative summary of the features of the two bills, which address to varying extent the principles enumerated by the Obama administration. For instance, the Volcker Rule against proprietary trading is not part of the legislation, though in the Senate bill regulators have the discretion but not the obligation to prohibit these trades.	May 2010
Other than being race and gender based, what did believers in affirmative action also feel that the system discriminated against?	"Proponents of affirmative action argue that by nature the system is not only race based, but also class and gender based. To eliminate two of its key components would undermine the purpose of the entire system. The African American Policy Forum believes that the class based argument is based on the idea that non-poor minorities do not experience racial and gender based discrimination. The AAPF believes that ""Race-conscious affirmative action remains necessary to address race-based obstacles that block the path to success of countless people of color of all classes"". The groups goes on to say that affirmative action is responsible for creating the African American middle class, so it does not make sense to say that the system only benefits the middle and upper classes."	class
What was the accuracy range that China promised to offer in 2008 with the BeiDou system?	On 2 November 2006, China announced that from 2008 BeiDou would offer an open service with an accuracy of 10 meters, timing of 0.2 microseconds, and speed of 0.2 meters/second.[citation needed]	10 meters
What was Mexico home to prior to the arrival of the Spaniards?	The territory of modern-day Mexico was home to numerous indigenous civilizations prior to the arrival of the Spanish conquistadores: The Olmecs, who flourished from between 1200 BCE to about 400 BCE in the coastal regions of the Gulf of Mexico; the Zapotecs and the Mixtecs, who held sway in the mountains of Oaxaca and the Isthmus of Tehuantepec; the Maya in the Yucatan (and into neighbouring areas of contemporary Central America); the Purépecha in present-day Michoacán and surrounding areas, and the Aztecs/Mexica, who, from their central capital at Tenochtitlan, dominated much of the centre and south of the country (and the non-Aztec inhabitants of those areas) when Hernán Cortés first landed at Veracruz.	indigenous civilizations
What  the profession of Gian Carlo Menotti?	Charleston is known for its unique culture, which blends traditional Southern U.S., English, French, and West African elements. The downtown peninsula has gained a reputation for its art, music, local cuisine, and fashion. Spoleto Festival USA, held annually in late spring, has become one of the world's major performing arts festivals. It was founded in 1977 by Pulitzer Prize-winning composer Gian Carlo Menotti, who sought to establish a counterpart to the Festival dei Due Mondi (the Festival of Two Worlds) in Spoleto, Italy.	composer
Compensation to the rights-holder is generally a levy or what else?	"The personal copying exemption in the copyright law of EU member states stems from the EU Copyright Directive of 2001, which is generally devised to allow EU members to enact laws sanctioning making copies without authorization, as long as they are for personal, noncommerical use. The Copyright Directive was not intended to legitimize file-sharing, but rather the common practice of space shifting copyright-protected content from a legally purchased CD (for example) to certain kinds of devices and media, provided rights holders are compensated and no copy protection measures are circumvented. Rights-holder compensation takes various forms, depending on the country, but is generally either a levy on ""recording"" devices and media, or a tax on the content itself. In some countries, such as Canada, the applicability of such laws to copying onto general-purpose storage devices like computer hard drives, portable media players, and phones, for which no levies are collected, has been the subject of debate and further efforts to reform copyright law."	a tax on the content itself
Whose teachings were once considered to be heretical?	Protestantism is a form of Christian faith and practice which originated with the Protestant Reformation,[a] a movement against what its followers considered to be errors in the Roman Catholic Church. It is one of the three major divisions of Christendom, together with Roman Catholicism and Eastern Orthodoxy. Anglicanism is sometimes considered to be independent from Protestantism.[b] The term derives from the letter of protestation from Lutheran princes in 1529 against an edict condemning the teachings of Martin Luther as heretical.	Martin Luther
How long after the natives were cured did it take for people to figure out the reason that brown rice cured them?	In 1896, Eugen Baumann observed iodine in thyroid glands. In 1897, Christiaan Eijkman worked with natives of Java, who also suffered from beriberi. Eijkman observed that chickens fed the native diet of white rice developed the symptoms of beriberi but remained healthy when fed unprocessed brown rice with the outer bran intact. Eijkman cured the natives by feeding them brown rice, discovering that food can cure disease. Over two decades later, nutritionists learned that the outer rice bran contains vitamin B1, also known as thiamine.	two decades
What wish of Virgil's did Lucius Varius Rufus and Plotius Tucca disregard?	According to the tradition, Virgil traveled to Greece in about 19 BC to revise the Aeneid. After meeting Augustus in Athens and deciding to return home, Virgil caught a fever while visiting a town near Megara. After crossing to Italy by ship, weakened with disease, Virgil died in Brundisium harbor on September 21, 19 BC. Augustus ordered Virgil's literary executors, Lucius Varius Rufus and Plotius Tucca, to disregard Virgil's own wish that the poem be burned, instead ordering it published with as few editorial changes as possible. As a result, the text of the Aeneid that exists may contain faults which Virgil was planning to correct before publication. However, the only obvious imperfections are a few lines of verse that are metrically unfinished (i.e. not a complete line of dactylic hexameter). Some scholars have argued that Virgil deliberately left these metrically incomplete lines for dramatic effect. Other alleged imperfections are subject to scholarly debate.	the poem be burned
What can happen when antibiotics are used with other drugs?	Antibiotics are screened for any negative effects on humans or other mammals before approval for clinical use, and are usually considered safe and most are well tolerated. However, some antibiotics have been associated with a range of adverse side effects. Side-effects range from mild to very serious depending on the antibiotics used, the microbial organisms targeted, and the individual patient. Side effects may reflect the pharmacological or toxicological properties of the antibiotic or may involve hypersensitivity reactions or anaphylaxis. Safety profiles of newer drugs are often not as well established as for those that have a long history of use. Adverse effects range from fever and nausea to major allergic reactions, including photodermatitis and anaphylaxis. Common side-effects include diarrhea, resulting from disruption of the species composition in the intestinal flora, resulting, for example, in overgrowth of pathogenic bacteria, such as Clostridium difficile. Antibacterials can also affect the vaginal flora, and may lead to overgrowth of yeast species of the genus Candida in the vulvo-vaginal area. Additional side-effects can result from interaction with other drugs, such as elevated risk of tendon damage from administration of a quinolone antibiotic with a systemic corticosteroid. Some scientists have hypothesized that the indiscriminate use of antibiotics alter the host microbiota and this has been associated with chronic disease.	Additional side-effects
From 2000, Cambodia has surpassed other ASEAN countries in generating GDP on which sector?	"Tourism has been a key factor in economic development for many Southeast Asian countries, especially Cambodia. According to UNESCO, ""tourism, if correctly conceived, can be a tremendous development tool and an effective means of preserving the cultural diversity of our planet."" Since the early 1990s, ""even the non-ASEAN nations such as Cambodia, Laos, Vietnam and Burma, where the income derived from tourism is low, are attempting to expand their own tourism industries."" In 1995, Singapore was the regional leader in tourism receipts relative to GDP at over 8%. By 1998, those receipts had dropped to less than 6% of GDP while Thailand and Lao PDR increased receipts to over 7%. Since 2000, Cambodia has surpassed all other ASEAN countries and generated almost 15% of its GDP from tourism in 2006."	tourism
Dogs were kept where in the 1950s and 1960s as compared to today?	"""The most widespread form of interspecies bonding occurs between humans and dogs"" and the keeping of dogs as companions, particularly by elites, has a long history. (As a possible example, at the Natufian culture site of Ain Mallaha in Israel, dated to 12,000 BC, the remains of an elderly human and a four-to-five-month-old puppy were found buried together). However, pet dog populations grew significantly after World War II as suburbanization increased. In the 1950s and 1960s, dogs were kept outside more often than they tend to be today (using the expression ""in the doghouse"" to describe exclusion from the group signifies the distance between the doghouse and the home) and were still primarily functional, acting as a guard, children's playmate, or walking companion. From the 1980s, there have been changes in the role of the pet dog, such as the increased role of dogs in the emotional support of their human guardians. People and dogs have become increasingly integrated and implicated in each other's lives, to the point where pet dogs actively shape the way a family and home are experienced."	outside
What Greek won the 2005 Knuth prize?	"Notable Greek scientists of modern times include Dimitrios Galanos, Georgios Papanikolaou (inventor of the Pap test), Nicholas Negroponte, Constantin Carathéodory (known for the Carathéodory theorems and Carathéodory conjecture), Manolis Andronikos (discovered the tomb of Philip II of Macedon in Vergina), Michael Dertouzos, John Argyris, Panagiotis Kondylis, John Iliopoulos (2007 Dirac Prize for his contributions on the physics of the charm quark, a major contribution to the birth of the Standard Model, the modern theory of Elementary Particles), Joseph Sifakis (2007 Turing Award, the ""Nobel Prize"" of Computer Science), Christos Papadimitriou (2002 Knuth Prize, 2012 Gödel Prize), Mihalis Yannakakis (2005 Knuth Prize), Dimitri Nanopoulos and Helene Ahrweiler."	Mihalis Yannakakis
People have claimed that the excessive use of what common product has caused disability and death?	"There is evidence of induced copper deficiency in those taking 100–300 mg of zinc daily. A 2007 trial observed that elderly men taking 80 mg daily were hospitalized for urinary complications more often than those taking a placebo. The USDA RDA is 11 and 8 mg Zn/day for men and women, respectively. Levels of 100–300 mg may interfere with the utilization of copper and iron or adversely affect cholesterol. Levels of zinc in excess of 500 ppm in soil interfere with the ability of plants to absorb other essential metals, such as iron and manganese. There is also a condition called the zinc shakes or ""zinc chills"" that can be induced by the inhalation of freshly formed zinc oxide formed during the welding of galvanized materials. Zinc is a common ingredient of denture cream which may contain between 17 and 38 mg of zinc per gram. There have been claims of disability, and even death, due to excessive use of these products."	denture cream
"In addition to ""whiskers,"" what does silver sprout around ions like halide?"	"Electrochemical migration (ECM) is the growth of conductive metal filaments on or in a printed circuit board (PCB) under the influence of a DC voltage bias. Silver, zinc, and aluminum are known to grow whiskers under the influence of an electric field. Silver also grows conducting surface paths in the presence of halide and other ions, making it a poor choice for electronics use. Tin will grow ""whiskers"" due to tension in the plated surface. Tin-Lead or solder plating also grows whiskers, only reduced by the percentage Tin replaced. Reflow to melt solder or tin plate to relieve surface stress lowers whisker incidence. Another coating issue is tin pest, the transformation of tin to a powdery allotrope at low temperature."	conducting surface paths
What has a strong influence over all aspect of Tibetans lives?	Religion is extremely important to the Tibetans and has a strong influence over all aspects of their lives. Bön is the ancient religion of Tibet, but has been almost eclipsed by Tibetan Buddhism, a distinctive form of Mahayana and Vajrayana, which was introduced into Tibet from the Sanskrit Buddhist tradition of northern India. Tibetan Buddhism is practiced not only in Tibet but also in Mongolia, parts of northern India, the Buryat Republic, the Tuva Republic, and in the Republic of Kalmykia and some other parts of China. During China's Cultural Revolution, nearly all Tibet's monasteries were ransacked and destroyed by the Red Guards. A few monasteries have begun to rebuild since the 1980s (with limited support from the Chinese government) and greater religious freedom has been granted – although it is still limited. Monks returned to monasteries across Tibet and monastic education resumed even though the number of monks imposed is strictly limited. Before the 1950s, between 10 and 20% of males in Tibet were monks.	Religion
Along with Bat and trap, what game is popular in south London pubs?	Increasingly, more modern games such as video games and slot machines are provided. Pubs hold special events, from tournaments of the aforementioned games to karaoke nights to pub quizzes. Some play pop music and hip-hop (dance bar), or show football and rugby union on big screen televisions (sports bar). Shove ha'penny and Bat and trap were also popular in pubs south of London.	Shove ha'penny
In 1860, what percent of the North Carolina population were slaves?	While slaveholding was slightly less concentrated than in some Southern states, according to the 1860 census, more than 330,000 people, or 33% of the population of 992,622, were enslaved African Americans. They lived and worked chiefly on plantations in the eastern Tidewater. In addition, 30,463 free people of color lived in the state. They were also concentrated in the eastern coastal plain, especially at port cities such as Wilmington and New Bern, where a variety of jobs were available. Free African Americans were allowed to vote until 1835, when the state revoked their suffrage in restrictions following the slave rebellion of 1831 led by Nat Turner. Southern slave codes criminalized willful killing of a slave in most cases.	33
When did Arsenal become based in Highbury?	In 1886, Woolwich munitions workers founded the club as Dial Square. In 1913, the club crossed the city to Arsenal Stadium in Highbury. They became Tottenham Hotspur's nearest club, commencing the North London derby. In 2006, they moved to the Emirates Stadium in nearby Holloway. Arsenal earned €435.5m in 2014–15, with the Emirates Stadium generating the highest revenue in world football. Based on social media activity from 2014–15, Arsenal's fanbase is the fifth largest in the world. Forbes estimates the club was worth $1.3 billion in 2015.	1913
Due to the presence of coral reefs, what activities are popular in Biscayne Bay?	Miami's tropical weather allows for year-round outdoors activities. The city has numerous marinas, rivers, bays, canals, and the Atlantic Ocean, which make boating, sailing, and fishing popular outdoors activities. Biscayne Bay has numerous coral reefs which make snorkeling and scuba diving popular. There are over 80 parks and gardens in the city. The largest and most popular parks are Bayfront Park and Bicentennial Park (located in the heart of Downtown and the location of the American Airlines Arena and Bayside Marketplace), Tropical Park, Peacock Park, Morningside Park, Virginia Key, and Watson Island.	snorkeling and scuba diving
What is giving birth to dogs called?	In breeding circles, a male canine is referred to as a dog, while a female is called a bitch (Middle English bicche, from Old English bicce, ultimately from Old Norse bikkja). A group of offspring is a litter. The father of a litter is called the sire, and the mother is called the dam. Offspring are, in general, called pups or puppies, from French poupée, until they are about a year old. The process of birth is whelping, from the Old English word hwelp.	whelping
What is name of the hanja?	"When learning how to write hanja, students are taught to memorize the native Korean pronunciation for the hanja's meaning and the Sino-Korean pronunciations (the pronunciation based on the Chinese pronunciation of the characters) for each hanja respectively so that students know what the syllable and meaning is for a particular hanja. For example, the name for the hanja 水 is 물 수 (mul-su) in which 물 (mul) is the native Korean pronunciation for ""water"", while 수 (su) is the Sino-Korean pronunciation of the character. The naming of hanja is similar to if ""water"" were named ""water-aqua"", ""horse-equus"", or ""gold-aurum"" based on a hybridization of both the English and the Latin names. Other examples include 사람 인 (saram-in) for 人 ""person/people"", 큰 대 (keun-dae) for 大 ""big/large//great"", 작을 소 (jakeul-so) for 小 ""small/little"", 아래 하 (arae-ha) for 下 ""underneath/below/low"", 아비 부 (abi-bu) for 父 ""father"", and 나라이름 한 (naraimreum-han) for 韓 ""Han/Korea""."	mul-su
When was the Boat Show first held in Mayflower Park?	The annual Southampton Boat Show is held in September each year, with over 600 exhibitors present. It runs for just over a week at Mayflower Park on the city's waterfront, where it has been held since 1968. The Boat Show itself is the climax of Sea City, which runs from April to September each year to celebrate Southampton's links with the sea.	1968
Who does the senior leadership roles in the USAF include? 	The Department of the Air Force is one of three military departments within the Department of Defense, and is managed by the civilian Secretary of the Air Force, under the authority, direction, and control of the Secretary of Defense. The senior officials in the Office of the Secretary are the Under Secretary of the Air Force, four Assistant Secretaries of the Air Force and the General Counsel, all of whom are appointed by the President with the advice and consent of the Senate. The senior uniformed leadership in the Air Staff is made up of the Chief of Staff of the Air Force and the Vice Chief of Staff of the Air Force.	Chief of Staff of the Air Force and the Vice Chief of Staff of the Air Force
The crew's perception of what is different from a stationary observer?	On the other hand, the crew on board the spaceship also perceives the observer as slowed down and flattened along the spaceship's direction of travel, because both are moving at very nearly the speed of light relative to each other. Because the outside universe appears flattened to the spaceship, the crew perceives themselves as quickly traveling between regions of space that (to the stationary observer) are many light years apart. This is reconciled by the fact that the crew's perception of time is different from the stationary observer's; what seems like seconds to the crew might be hundreds of years to the stationary observer. In either case, however, causality remains unchanged: the past is the set of events that can send light signals to an entity and the future is the set of events to which an entity can send light signals.	time
What does NESA Teach?	Working closely in conjunction with the definition of the Near East provided by the State Department is the Near East South Asia Center for Strategic Studies (NESA), an educational institution of the United States Department of Defense. It teaches courses and holds seminars and workshops for government officials and military officers who will work or are working within its region. As the name indicates, that region is a combination of State Department regions; however, NESA is careful to identify the State Department region. As its Near East is not different from the State Department's it does not appear in the table. Its name, however, is not entirely accurate. For example, its region includes Mauritania, a member of the State Department's Africa (Sub-Sahara).	It teaches courses and holds seminars and workshops
Who's death was a catalyst for the Civil Rights Movement?	"The origin of Tom Robinson is less clear, although many have speculated that his character was inspired by several models. When Lee was 10 years old, a white woman near Monroeville accused a black man named Walter Lett of raping her. The story and the trial were covered by her father's newspaper which reported that Lett was convicted and sentenced to death. After a series of letters appeared claiming Lett had been falsely accused, his sentence was commuted to life in prison. He died there of tuberculosis in 1937. Scholars believe that Robinson's difficulties reflect the notorious case of the Scottsboro Boys, in which nine black men were convicted of raping two white women on negligible evidence. However, in 2005, Lee stated that she had in mind something less sensational, although the Scottsboro case served ""the same purpose"" to display Southern prejudices. Emmett Till, a black teenager who was murdered for flirting with a white woman in Mississippi in 1955, and whose death is credited as a catalyst for the Civil Rights Movement, is also considered a model for Tom Robinson."	Emmett Till
Fort Wadsworth and Fort Totten are located in which area of New York City?	New York City is home to Fort Hamilton, the U.S. military's only active duty installation within the city. Established in 1825 in Brooklyn on the site of a small battery utilized during the American Revolution, it is one of America's longest serving military forts. Today Fort Hamilton serves as the headquarters of the North Atlantic Division of the United States Army Corps of Engineers as well as for the New York City Recruiting Battalion. It also houses the 1179th Transportation Brigade, the 722nd Aeromedical Staging Squadron, and a military entrance processing station. Other formerly active military reservations still utilized for National Guard and military training or reserve operations in the city include Fort Wadsworth in Staten Island and Fort Totten in Queens.	Queens
What is the reason for French and Italian not being very mutually comprehensible?	This can give rise to the situation in which two dialects (defined according to this paradigm) with a somewhat distant genetic relationship are mutually more readily comprehensible than more closely related dialects. In one opinion, this pattern is clearly present among the modern Romance languages, with Italian and Spanish having a high degree of mutual comprehensibility, which neither language shares with French, despite some claiming that both languages are genetically closer to French than to each other:[citation needed] In fact, French-Italian and French-Spanish relative mutual incomprehensibility is due to French having undergone more rapid and more pervasive phonological change than have Spanish and Italian, not to real or imagined distance in genetic relationship. In fact, Italian and French share many more root words in common that do not even appear in Spanish.	French having undergone more rapid and more pervasive phonological change
What civilization is the group credited with putting an end to ?	Around 1200 BC, the Dorians, another Greek-speaking people, followed from Epirus. Traditionally, historians have believed that the Dorian invasion caused the collapse of the Mycenaean civilization, but it is likely the main attack was made by seafaring raiders (sea peoples) who sailed into the eastern Mediterranean around 1180 BC. The Dorian invasion was followed by a poorly attested period of migrations, appropriately called the Greek Dark Ages, but by 800 BC the landscape of Archaic and Classical Greece was discernible.	the Mycenaean civilization,
