text	Aspect 1	Sentiment 1	Opinion 1	Opinion 2	Aspect 2	Sentiment 2	Aspect 3	Sentiment 3	Aspect 4	Sentiment 4	Opinion 3	Aspect 5	Sentiment 5	Aspect 6	Sentiment 6	Aspect 7	Sentiment 7	Opinion 4	Opinion 5	Aspect 8	Sentiment 8	Opinion 6	Opinion 7	Aspect 9	Sentiment 9	raw_text
decent wine selection too	wine selection	positive	decent																							decent wine selection too
go with a group of friends and you will have a great time			great																							go with a group of friends and you will have a great time
it saves walking in and waiting for a table in the often noisy, crowded bar at dinnertime	waiting	negative	noisy	crowded	table	negative	bar	negative																		it saves walking in and waiting for a table in the often noisy , crowded bar at dinnertime
i have to say i have never had a disapointing meal here	meal	positive	disapointing																							i have to say i have never had a disapointing meal here
it's one of our favorite places to eat in ny			favorite																							it 's one of our favorite places to eat in ny
the place does get crowded, so i recommend going between 4-5 pm			crowded																							the place does get crowded , so i recommend going between 4-5 pm
disappointing food, lousy service	food	negative	disappointing	lousy																						disappointing food , lousy service
i'm from sichuan, this is the restaurant i recommend going			recommend																							i 'm from sichuan , this is the restaurant i recommend going
this lovely french-asian fusion restaurant stands out amongst other great restaurants on smith street			lovely	great																						this lovely french-asian fusion restaurant stands out amongst other great restaurants on smith street
if you want a casual neighborhood bistro that has great food and excellent service, this is the place	food	positive	casual	great	service	positive					excellent															if you want a casual neighborhood bistro that has great food and excellent service , this is the place
great place to go for a drink too because they have 100 kinds of beer	drink	neutral	great		kinds of beer	positive																				great place to go for a drink too because they have 100 kinds of beer
over price, and small portions	price	negative	over	small																						over price , and small portions
but their best dish is thh thai spiced curry noodles with shrimp - a dish that would cost 23.95 is most places, but it is 16 here	dish	positive	best		thai spiced curry noodles with shrimp	positive	dish	positive	cost	positive																but their best dish is thh thai spiced curry noodles with shrimp - a dish that would cost 23.95 is most places , but it is 16 here
good, dark atmosphere and the music is a nice touch	atmosphere	positive	good	dark	music	positive					nice															good , dark atmosphere and the music is a nice touch
my husband said the portions were very small, but if my main cours e was good to eat the portion would've been fine for me	portions	negative	small	good	main cours	negative	portion	positive			fine															my husband said the portions were very small , but if my main cours e was good to eat the portion would 've been fine for me
this thai restaurant is a couple blocks away from sripraphai (another delicious thai restaurant)			delicious																							this thai restaurant is a couple blocks away from sripraphai ( another delicious thai restaurant )
our friendly server made great food suggestions and also sent both the sommelier and the fromager to the table to help suggest different pairings for wine and cheese	server	positive	friendly	great	food suggestions	positive	sommelier	positive	fromager	positive		wine	neutral													our friendly server made great food suggestions and also sent both the sommelier and the fromager to the table to help suggest different pairings for wine and cheese
perhaps the last reviewer (who stated she was treated with attitude) lives in a parallel universe because i have never had anything but a perfect experience at yasuda			perfect																							perhaps the last reviewer ( who stated she was treated with attitude ) lives in a parallel universe because i have never had anything but a perfect experience at yasuda
that said, i thought scalini fedeli was one of the best dining experiences i've ever had			best																							that said , i thought scalini fedeli was one of the best dining experiences i 've ever had
because we didn't have a reservation, we could only sit in the back garden, but it was great, secluded and perfect in nice weather	reservation	negative	great	secluded	back garden	positive					perfect															because we did n't have a reservation , we could only sit in the back garden , but it was great , secluded and perfect in nice weather
stuffing yourself with japanese food is a rare thing	japanese food	neutral	rare																							stuffing yourself with japanese food is a rare thing
while the food was good (certainly no il mulino) the service was horrendous	food	positive	good		service	negative																				while the food was good ( certainly no il mulino ) the service was horrendous
it is expensive but well worth the money			expensive	well worth																						it is expensive but well worth the money
service is not what one would expect from a joint in this price category	service	negative	expect		price category	negative																				service is not what one would expect from a joint in this price category
our family never expected such incredible entertainment in a restaurant	entertainment	positive	incredible																							our family never expected such incredible entertainment in a restaurant
i would recommend reservations on weekends though	reservations	neutral	recommend																							i would recommend reservations on weekends though
great pizza for lunch place	pizza	positive	great																							great pizza for lunch place
the food was very expensive (we spent 160 for lunch for two) but extremely tasty	food	conflict	expensive		lunch	negative																				the food was very expensive ( we spent 160 for lunch for two ) but extremely tasty
we were a group of 8 and well seved			well																							we were a group of 8 and well seved
i love their spicy scallop roll, and my boyfriend consistently gets the sesame chicken	scallop roll	positive	love		sesame chicken	positive																				i love their spicy scallop roll , and my boyfriend consistently gets the sesame chicken
i'm no food critic, but i'd like to think i have a tiny bit of experience under my belt having lived in ny for the last 11 years	food	neutral																								i 'm no food critic , but i 'd like to think i have a tiny bit of experience under my belt having lived in ny for the last 11 years
best dish is nori-wrapped tuna	dish	positive	best		nori-wrapped tuna	positive																				best dish is nori-wrapped tuna
some servers make you feel like they are doing you a favor to bring you the food	servers	negative																								some servers make you feel like they are doing you a favor to bring you the food
an excellent alternative to fast food joints and ordering in but, the food was slightly disappointing	fast food	negative	excellent		food	negative																				an excellent alternative to fast food joints and ordering in but , the food was slightly disappointing
mermaid inn is an overall good restaurant with really good seafood			good	good																						mermaid inn is an overall good restaurant with really good seafood
the staff is also attentive and friendly	staff	positive	attentive																							the staff is also attentive and friendly
the all you can eat deal is truly amazing here	all you can eat deal	positive	amazing																							the all you can eat deal is truly amazing here
that is a problem since we paid about 20 bucks a dish, and had to order 5 dishes to get a decent taste	dish	negative	decent		dishes	negative																				that is a problem since we paid about 20 bucks a dish , and had to order 5 dishes to get a decent taste
they were such a rip-off (8.95 for four small meat patties in steamed buns) and not worth trying	meat patties in steamed buns	negative	rip-off	worth																						they were such a rip-off ( 8.95 for four small meat patties in steamed buns ) and not worth trying
all of the pizzas are terrific and the price is even better!	pizzas	positive	terrific	better	price	positive																				all of the pizzas are terrific and the price is even better !
it is about food and ambiance, and imagine how dreadful it will be it we only had to listen to an idle engine	food	negative	dreadful		ambiance	negative																				it is about food and ambiance , and imagine how dreadful it will be it we only had to listen to an idle engine
the food was good too	food	positive	good																							the food was good too
immediately after we paid, the waiter took the money and said, okay, you guys are outta here	waiter	negative																								immediately after we paid , the waiter took the money and said , okay , you guys are outta here
the menu seemed to have a wide variety of dishes for seafood lovers and interesting ways of preparing them	menu	positive	wide	interesting	variety of dishes	positive	seafood	positive																		the menu seemed to have a wide variety of dishes for seafood lovers and interesting ways of preparing them
the white bean brushetta to start was incredible and the pasta was phenomenal	white bean brushetta	positive	incredible		pasta	positive																				the white bean brushetta to start was incredible and the pasta was phenomenal
the rest of the menu is limited by everything is good eats	menu	conflict	limited	good																						the rest of the menu is limited by everything is good eats
the menu is nothing like the one on the website	menu	negative																								the menu is nothing like the one on the website
great food, great lay out and awesome service	food	positive	great	great	lay out	positive					awesome															great food , great lay out and awesome service
ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away	cart attendant	negative			lotus leaf wrapped rice	neutral	rice	neutral																		ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away
chennai garden is my favorite indian restaurant in the city			favorite																							chennai garden is my favorite indian restaurant in the city
my roommate and i love this place			love																							my roommate and i love this place
i have lived in japan for 7 years and the taste of the food and the feel of the restaurant is like being back in japan	taste	positive			food	positive	feel	positive																		i have lived in japan for 7 years and the taste of the food and the feel of the restaurant is like being back in japan
not worth it			worth																							not worth it
they have it all--great price, food, and service	price	positive	great		food	positive																				they have it all -- great price , food , and service
so close, but not good enough			good enough																							so close , but not good enough
the flavors are great, and the menu is extensive	flavors	positive	great		menu	positive																				the flavors are great , and the menu is extensive
the food was amazing, the service was so attentive and personable, and how about that ambience!	food	positive	amazing	attentive	service	positive	ambience	positive																		the food was amazing , the service was so attentive and personable , and how about that ambience !
this place has the best interior i have seen anywhere in the northside of w'burg, and will impress whoever you bring there	place	positive	best	impress	interior	positive																				this place has the best interior i have seen anywhere in the northside of w'burg , and will impress whoever you bring there
the food has been consistant for years and it never lets you down	food	positive	consistant																							the food has been consistant for years and it never lets you down
i found the variety of the sashimi plate to be satisfying - fresh and yummy	sashimi plate	positive	satisfying	fresh																						i found the variety of the sashimi plate to be satisfying - fresh and yummy
and forget what you read under me, the atmosphere isn't that bad either	atmosphere	neutral	bad																							and forget what you read under me , the atmosphere is n't that bad either
we couldn't carry our conversation as we were routinely interrupted by waitress and servants asking us to order and hinting that we're taking too much time--amazing, we just sat down	waitress	negative	interrupted		servants	negative																				we could n't carry our conversation as we were routinely interrupted by waitress and servants asking us to order and hinting that we 're taking too much time -- amazing , we just sat down
sometimes i get good food and ok service	food	positive	good	ok																						sometimes i get good food and ok service
it's a place for people who pay a lot for mediocre food, noise and a chance to be with their fellow bridge and tunnel folks	food	neutral	mediocre		noise	negative																				it 's a place for people who pay a lot for mediocre food , noise and a chance to be with their fellow bridge and tunnel folks
this was a great surprise			great surprise																							this was a great surprise
the food was spicy and delicious	food	positive	spicy																							the food was spicy and delicious
a little overpriced but worth it once you take a bite			overpriced	worth																						a little overpriced but worth it once you take a bite
bartender was unable to tear himself away from friends at bar	bartender	negative	unable																							bartender was unable to tear himself away from friends at bar
anyways, if you're in the neighborhood to eat good food, i wouldn't waste my time trying to find something, rather go across the street to tamari	food	positive	good																							anyways , if you 're in the neighborhood to eat good food , i would n't waste my time trying to find something , rather go across the street to tamari
dahkin also offers prix fixe lunch and buffet	prix fixe lunch	positive																								dahkin also offers prix fixe lunch and buffet
although the place could be a little more eye catching and roomier, at the same time, it doesn't really matter	place	conflict	eye catching	roomier																						although the place could be a little more eye catching and roomier , at the same time , it does n't really matter
great place to grab a hot bagel on the way to work	hot bagel	positive	great																							great place to grab a hot bagel on the way to work
one would think we'd get an apology or complimentary drinks - instead, we got a snobby waiter wouldn't even take our order for 15 minutes and gave us lip when we asked him to do so	drinks	neutral	snobby		waiter	negative																				one would think we 'd get an apology or complimentary drinks - instead , we got a snobby waiter would n't even take our order for 15 minutes and gave us lip when we asked him to do so
one of my favorite places in manhattan			favorite																							one of my favorite places in manhattan
we were looking forward to nice glass of sangria when we arrived	glass of sangria	positive	nice																							we were looking forward to nice glass of sangria when we arrived
i would highly recommand requesting a table by the window	table by the window	positive																								i would highly recommand requesting a table by the window
while we enjoyed the food, we were highly disappointed by the poor service (waiter was not quite competent and slow service) and lack of remorse	food	positive	enjoyed	disappointed	service	negative	waiter	negative	service	negative	poor							competent	slow			lack				while we enjoyed the food , we were highly disappointed by the poor service ( waiter was not quite competent and slow service ) and lack of remorse
i stumbled upon this great pizzeria as i explored my new neighborhood			great																							i stumbled upon this great pizzeria as i explored my new neighborhood
after hearing a lot of great things about the restaurant, and passing by it on a daily basis, we decided to try			great																							after hearing a lot of great things about the restaurant , and passing by it on a daily basis , we decided to try
the service, however, was a bright flower in a garden	service	positive	bright																							the service , however , was a bright flower in a garden
we've been to grocery three times and not once has an item on the menu disappointed	menu	positive																								we 've been to grocery three times and not once has an item on the menu disappointed
the food is very good too but for the most part, it's just regular food, nothing special	food	positive	good	regular	food	neutral					nothing special															the food is very good too but for the most part , it 's just regular food , nothing special
a touch more jalapeno heat for contrast and it would have been very good indeed	jalapeno	positive	good																							a touch more jalapeno heat for contrast and it would have been very good indeed
tried the pad see ew on the recommendation of the last reviewer since it's one of my favorite dishes	pad see ew	neutral	favorite																							tried the pad see ew on the recommendation of the last reviewer since it 's one of my favorite dishes
the location is perfect	location	positive																								the location is perfect
guacamole+shrimp appetizer was really great, we both had the filet, very good, didn't much like the frites that came with, but the filet was so good, neither of us cared	guacamole+shrimp appetizer	positive	great	good	filet	positive	frites	negative	filet	positive	good															guacamole+shrimp appetizer was really great , we both had the filet , very good , did n't much like the frites that came with , but the filet was so good , neither of us cared
the lunch special is an asbolute steal	lunch special	positive																								the lunch special is an asbolute steal
nothing fancy but really good food with pretty reasonable price	food	positive	nothing fancy	good							reasonable															nothing fancy but really good food with pretty reasonable price
the chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm	the chicken pot pie	positive	huge	delictable	cheeseburger	positive	service	positive			professional															the chicken pot pie is excpetiona , the cheeseburger huge and delictable , and the service professional wan warm
while i quite liked the food and the ambience, i'm not quite sure if it they really deserve it the michelin rating they have displayed so prooudly in the window	food	positive	liked		ambience	positive																				while i quite liked the food and the ambience , i 'm not quite sure if it they really deserve it the michelin rating they have displayed so prooudly in the window
i'm surprised about some of the bad reviews posted here - i've been to tamarind about 5 or 6 times and always come away extremely satisfied and looking forward to returning			satisfied																							i 'm surprised about some of the bad reviews posted here - i 've been to tamarind about 5 or 6 times and always come away extremely satisfied and looking forward to returning
there are a few italian employees who may not speak the best english but for me that adds to the experience	employees	conflict	best																							there are a few italian employees who may not speak the best english but for me that adds to the experience
not worth the prices			worth																							not worth the prices
from the moment you enter till the moment you walk out the friendly and helpful staff was was just fantastic	staff	positive	friendly	helpful																						from the moment you enter till the moment you walk out the friendly and helpful staff was was just fantastic
service was good and food is wonderful	service	positive	good		food	positive																				service was good and food is wonderful
she gets 10 for her excellent service and advice	service	positive	excellent																							she gets 10 for her excellent service and advice
the quality of food at this restaurant accompanied by fantastic live jazz makes this place a perfect 10!	quality of food	positive	fantastic	perfect	live jazz	positive																				the quality of food at this restaurant accompanied by fantastic live jazz makes this place a perfect 10 !
(always ask the bartender for the seasonal beer!!!	bartender	neutral			seasonal beer	positive																				( always ask the bartender for the seasonal beer ! ! !
if your visiting, you'll enjoy the ambiance and the fact that it's in time sq	ambiance	positive	enjoy																							if your visiting , you 'll enjoy the ambiance and the fact that it 's in time sq
sandwiches tho pricey are over stuffed - can serve 2 persons easily thus cost effective!	sandwiches	conflict	pricey	over stuffed							cost effective															sandwiches tho pricey are over stuffed - can serve 2 persons easily thus cost effective !
service and food is what any one would expect when spending that type of money	service	neutral	expect		food	neutral																				service and food is what any one would expect when spending that type of money
love the atmosphere - felt like i was in paris	atmosphere	positive	love																							love the atmosphere - felt like i was in paris
every course was better than the next	course	positive	better																							every course was better than the next
not cheap, but not that expensive either			cheap	expensive																						not cheap , but not that expensive either
the staff is incredibly helpful and attentive	staff	positive	helpful																							the staff is incredibly helpful and attentive
if presentation and service is your thing, then this magic show works	service	positive																								if presentation and service is your thing , then this magic show works
apparently, the good cook works then	cook	positive	good																							apparently , the good cook works then
i was pleasantly suprised			pleasantly suprised																							i was pleasantly suprised
the yellowtail was particularly good as well	yellowtail	positive	good																							the yellowtail was particularly good as well
i ate clams oreganta and spectacular salad with perfectly marinated cucumbers and tomatoes with lots of shrimp and basil	clams oreganta	positive			salad with perfectly marinated cucumbers and tomatoes with lots of shrimp and basil	positive																				i ate clams oreganta and spectacular salad with perfectly marinated cucumbers and tomatoes with lots of shrimp and basil
the menu changed, portions were even smaller than before, a lentil dish was salty beyond edibility, a basmati rice dish lacked flavor	menu	negative	changed	smaller	portions	negative	lentil dish	negative	basmati rice dish	negative	salty							lacked								the menu changed , portions were even smaller than before , a lentil dish was salty beyond edibility , a basmati rice dish lacked flavor
spice is sleek, modern and cool with a menu that will not hurt your wallet	menu	positive	sleek	modern							cool															spice is sleek , modern and cool with a menu that will not hurt your wallet
patroon features a nice cigar bar and has great staff	cigar bar	positive	nice	great																						patroon features a nice cigar bar and has great staff
very affordable and excellent ambient!	ambient	positive	affordable	excellent																						very affordable and excellent ambient !
i have never had cheescake like this	cheescake	positive																								i have never had cheescake like this
bill a little high, but worth it	bill	conflict	high	worth																						bill a little high , but worth it
everyone i bring here always loves it			loves																							everyone i bring here always loves it
my co-workers had to wait almost an hour for delivery, only to discover that what they got was not what they ordered	delivery	negative																								my co-workers had to wait almost an hour for delivery , only to discover that what they got was not what they ordered
worth a visit			worth																							worth a visit
its a go-to for dates as well as entertaining out of town guests	entertaining	positive																								its a go-to for dates as well as entertaining out of town guests
why do people rave about the ambience			rave																							why do people rave about the ambience
were meeting up with some friends for a drink at lafayette 161 and happened to walk by thai angel famished	drink	neutral																								were meeting up with some friends for a drink at lafayette 161 and happened to walk by thai angel famished
fluke sashimi drizzled with jalapeno-lime olive oil, the fruit of the oil nicely highlighting the fish's sweetness	fluke sashimi	positive	nicely		jalapeno-lime olive oil	positive	fruit of the oil	positive	fish	positive																fluke sashimi drizzled with jalapeno-lime olive oil , the fruit of the oil nicely highlighting the fish 's sweetness
great sushi experience	sushi	positive	great																							great sushi experience
if you're looking for a great meal at a decent price, go to del frisco's!	meal	positive	great	decent	price	positive																				if you 're looking for a great meal at a decent price , go to del frisco 's !
my steak au poivre was one of the worst i've had	steak au poivre	negative	worst																							my steak au poivre was one of the worst i 've had
on a recent sunday afternoon, a friend and i accidently found this great restaurant on our way to see the pulitzer prize winning play doubt			great																							on a recent sunday afternoon , a friend and i accidently found this great restaurant on our way to see the pulitzer prize winning play doubt
the owner and staff are all japanese as well and that adds to the entire ambiance	owner	positive			staff	positive																				the owner and staff are all japanese as well and that adds to the entire ambiance
try the congee and the donut like deep fried dough they call ow ley soh, a delicious and sweet tasting bread	congee	positive	delicious	sweet tasting	donut like deep fried dough they call ow ley soh	positive																				try the congee and the donut like deep fried dough they call ow ley soh , a delicious and sweet tasting bread
although the tables may be closely situated, the candle-light, food-quality and service overcompensate	tables	negative	closely situated		candle-light	positive	food-quality	positive	service	positive																although the tables may be closely situated , the candle-light , food-quality and service overcompensate
the food was delicious and the waiter was incredibly helpful and attentive (considering we were the only ones there for the first hour)	food	positive	delicious	helpful	waiter	positive					attentive															the food was delicious and the waiter was incredibly helpful and attentive ( considering we were the only ones there for the first hour )
from the spectacular caviar to the hospitable waitstaff, i felt like royalty and enjoyed every second of it	caviar	positive	spectacular	hospitable	waitstaff	positive					enjoyed															from the spectacular caviar to the hospitable waitstaff , i felt like royalty and enjoyed every second of it
i will be going back and heartily recommend it!			recommend																							i will be going back and heartily recommend it !
definitely worth the trip to battery park city!			worth																							definitely worth the trip to battery park city !
perhaps this food is considered extreme to an upper east side resident, but for the rest of us who've actually eaten ethnic food, this is simply dull	food	conflict	extreme		ethnic food	negative																				perhaps this food is considered extreme to an upper east side resident , but for the rest of us who 've actually eaten ethnic food , this is simply dull
the place was real empty but that was because this was the first sunday they ever opened	place	negative	empty																							the place was real empty but that was because this was the first sunday they ever opened
this little place definitely exceeded my expectations and you sure get a lot of food for your money	place	conflict	exceeded	a lot of	food	positive																				this little place definitely exceeded my expectations and you sure get a lot of food for your money
ambience is delightful, service impeccable	ambience	positive	delightful		service	positive																				ambience is delightful , service impeccable
service was excellent, and the ac worked very well too (thank god, it was hot!)	service	positive	excellent	well	ac	positive																				service was excellent , and the ac worked very well too ( thank god , it was hot ! )
tasty but expensive			tasty																							tasty but expensive
both are delicious, the cooks are friendly and are willing to take a moment and speak to you and shake your hand	cooks	positive	delicious	friendly																						both are delicious , the cooks are friendly and are willing to take a moment and speak to you and shake your hand
my friend ordered some of their special sushi rolls which had excellent presentation and tasted great!	sushi rolls	positive	excellent	great																						my friend ordered some of their special sushi rolls which had excellent presentation and tasted great !
although be warned their dinner menu to sit and take ou t prices are different	dinner menu to sit	neutral	warned		take ou	neutral	prices	neutral																		although be warned their dinner menu to sit and take ou t prices are different
the staff was accomodating, the food was absolutely delicious and the place is lovely	staff	positive	accomodating	delicious	food	positive	place	positive																		the staff was accomodating , the food was absolutely delicious and the place is lovely
they smell like they stuff them with old canned vegetables like the spinach mushroom calzone	canned vegetables	negative	old		spinach mushroom calzone	negative																				they smell like they stuff them with old canned vegetables like the spinach mushroom calzone
to celebrate a birthday, three of us went to mare anticipating great food			great																							to celebrate a birthday , three of us went to mare anticipating great food
there was a great deal for 6 blue point oysters and a beer or glass of wine for 8!	blue point oysters	neutral	great		beer	neutral	glass of wine	neutral																		there was a great deal for 6 blue point oysters and a beer or glass of wine for 8 !
i went to pams with my girlfriend, and i love it			love																							i went to pams with my girlfriend , and i love it
i am relatively new to the area and tried pick a bgel on 2nd and was disappointed with the service and i thought the food was overated and on the pricey side	service	negative	disappointed	overated	food	negative					pricey															i am relatively new to the area and tried pick a bgel on 2nd and was disappointed with the service and i thought the food was overated and on the pricey side
the staff was knowledgeable and full of personality	staff	positive	knowledgeable																							the staff was knowledgeable and full of personality
great staff			great																							great staff
only complaint would be that at an average cost of 12- 15 per meal, i'd like not to have to worry about finding a seat!	cost	negative	complaint	average	meal	neutral	seat	negative			worry about															only complaint would be that at an average cost of 12- 15 per meal , i 'd like not to have to worry about finding a seat !
to finish off such a delightful dinner experience you must have dessert, especially the white chocolate bread pudding with gelato and hot chocolate	dinner	positive	delightful		dessert	positive	white chocolate bread pudding with gelato and hot chocolate	positive																		to finish off such a delightful dinner experience you must have dessert , especially the white chocolate bread pudding with gelato and hot chocolate
the banana tower is an amazing dessert as well	banana tower	positive	amazing		dessert	positive																				the banana tower is an amazing dessert as well
excellent atmosphere, delicious dishes good and friendly service	atmosphere	positive	excellent	delicious	dishes	positive					good							friendly								excellent atmosphere , delicious dishes good and friendly service
a cool place to hang with your friends for a couple of healthy drinks and desserts	place	positive	cool	healthy	drinks	positive																				a cool place to hang with your friends for a couple of healthy drinks and desserts
great vibe, lots of people	vibe	positive	great																							great vibe , lots of people
i like mamoun's food as well, but side by side, kati rolls just produce tastier food hands down	food	positive	like	tastier	food	positive																				i like mamoun 's food as well , but side by side , kati rolls just produce tastier food hands down
the service is a bit slow, but harkens back to my years growing up in napoli, italy where things are not rushed and when you sit down for dinner the table is yours all night	service	negative	slow		dinner	neutral	table	positive																		the service is a bit slow , but harkens back to my years growing up in napoli , italy where things are not rushed and when you sit down for dinner the table is yours all night
i love this place!			love																							i love this place !
but that wasn't the icing on the cake a tiramisu that resembled nothing i have ever had	icing on the cake	negative			tiramisu	negative																				but that was n't the icing on the cake a tiramisu that resembled nothing i have ever had
great food and the prices are very reasonable	food	positive	great		prices	positive																				great food and the prices are very reasonable
wine list is not huge but def well selected	wine list	conflict	huge																							wine list is not huge but def well selected
a cool bar with great food, and tons of excellent beer	bar	positive	cool	great	food	positive					excellent															a cool bar with great food , and tons of excellent beer
the ambience is authentic and relaxing and we have always received attentive and prompt service	ambience	positive	authentic	relaxing							attentive							prompt								the ambience is authentic and relaxing and we have always received attentive and prompt service
fresh, authentic, french cuisine in substantial portions	french cuisine	positive	fresh	authentic							substantial															fresh , authentic , french cuisine in substantial portions
drinks got screwed up, she acted put upon	drinks	negative	screwed up																							drinks got screwed up , she acted put upon
the one vegetarian entree (abby's treasure) was actually quite a surprise - it was delicious and had wintermelon covering an assortment of fresh mushrooms and vegetables	vegetarian entree	positive	surprise	delicious	abby's treasure	positive	wintermelon	positive	assortment of fresh mushrooms and vegetables	positive	fresh															the one vegetarian entree ( abby 's treasure ) was actually quite a surprise - it was delicious and had wintermelon covering an assortment of fresh mushrooms and vegetables
at 5 dumplings for 1, you just cannot go wrong	dumplings	positive																								at 5 dumplings for 1 , you just can not go wrong
but the pizza is way to expensive	pizza	negative																								but the pizza is way to expensive
and the staff is also young, energeic and hot!!!!	staff	positive	young	energeic							hot															and the staff is also young , energeic and hot ! ! ! !
even better, they know how to cook french classics like steak au poivre and onglet without burning it to death or overcooking it	steak au poivre	positive	better		onglet	positive																				even better , they know how to cook french classics like steak au poivre and onglet without burning it to death or overcooking it
service was decent, but not as smooth as i would expect from a place with these prices and reputation	service	conflict	decent	smooth	prices	negative																				service was decent , but not as smooth as i would expect from a place with these prices and reputation
we had a wonderful meal at naples 45 a month ago on a visit to nyc	meal	positive	wonderful																							we had a wonderful meal at naples 45 a month ago on a visit to nyc
good drink			good																							good drink
great food (spinach and corn dumplings and massamman curry), very friendly and no nonsense service and a clean and funky bathroom	food	positive	great	friendly	spinach and corn dumplings	positive	massamman curry	positive	service	positive	nonsense							clean	funky							great food ( spinach and corn dumplings and massamman curry ) , very friendly and no nonsense service and a clean and funky bathroom
romantic if you want it to be (brightly lit)			romantic																							romantic if you want it to be ( brightly lit )
i recommend it!			recommend																							i recommend it !
my chow fun and chow see was really bland and oily	chow fun and chow see	negative	bland																							my chow fun and chow see was really bland and oily
even though i made the reservation at 3pm for the same night through dinnerbroker, we were seated at a table with one of the best view!	reservation	positive	best		seated	positive	table	positive																		even though i made the reservation at 3pm for the same night through dinnerbroker , we were seated at a table with one of the best view !
we did notice however, that some tables had what looked like pita instead of naan	pita	negative																								we did notice however , that some tables had what looked like pita instead of naan
the grilled cheese at home afterwards was better.!!	grilled cheese	positive																								the grilled cheese at home afterwards was better. ! !
the red sliding doors may be unique but they do not block off the cold air from the outside	doors	conflict	unique																							the red sliding doors may be unique but they do not block off the cold air from the outside
the food is expensive, but worth every bite	food	conflict	expensive	worth																						the food is expensive , but worth every bite
when we were finally seated our waitress came by twice-1 for our order and 2-for our check	waitress	negative																								when we were finally seated our waitress came by twice-1 for our order and 2-for our check
in summer-eat outside on a terrace (another great feature of suan)!!!	terrace	positive	great																							in summer-eat outside on a terrace ( another great feature of suan ) ! ! !
we did have to wait at the bar for approx	bar	neutral																								we did have to wait at the bar for approx
you fellas above says its the best taiwanese restaurant in town			best																							you fellas above says its the best taiwanese restaurant in town
if you love seafood, you would love this place!	seafood	positive	love	love	place	positive																				if you love seafood , you would love this place !
good, fast service			good	fast																						good , fast service
dakshin is one of the few affordable and tasty indian restaurant in the upper east side			affordable	tasty																						dakshin is one of the few affordable and tasty indian restaurant in the upper east side
they charge different prices all the time	prices	negative	different																							they charge different prices all the time
i was in love with pongsri on 48th, but compared to suan it is slow in service and overpriced	service	negative	love	slow																						i was in love with pongsri on 48th , but compared to suan it is slow in service and overpriced
it's charmingly small and that leads to an atmoshere that is extremely cozy and romantic, even	atmoshere	positive	charmingly small	cozy							romantic															it 's charmingly small and that leads to an atmoshere that is extremely cozy and romantic , even
it is obvious that no one in the restaurant has any idea about or experience with japanese cuisin e	japanese cuisin	negative																								it is obvious that no one in the restaurant has any idea about or experience with japanese cuisin e
in terms of the food itself--nothing special, we limited ourselves to several appetizers	food	neutral	nothing special	limited																						in terms of the food itself -- nothing special , we limited ourselves to several appetizers
love the jazz bands on fri and sat	jazz bands	positive	love																							love the jazz bands on fri and sat
overall, excellent restaurant!			excellent																							overall , excellent restaurant !
to begin, we were told there was a 30 minute wait and started to leave, when the hostess offered to call us on our cell phone when the table was ready	wait	negative			hostess	positive	table	positive																		to begin , we were told there was a 30 minute wait and started to leave , when the hostess offered to call us on our cell phone when the table was ready
the servers give you some sample slices of your order while you wait (shortly i might add)	servers	positive																								the servers give you some sample slices of your order while you wait ( shortly i might add )
the service was ok	service	neutral																								the service was ok
i ate here for the first time and absolutely loved it!			loved																							i ate here for the first time and absolutely loved it !
the manager claimed that he could not compensate us for anything on the bill which just shows the lack of sophistication from the entire group	manager	negative	lack		bill	neutral																				the manager claimed that he could not compensate us for anything on the bill which just shows the lack of sophistication from the entire group
this is by far my favorite place in the neighborhood			favorite																							this is by far my favorite place in the neighborhood
but too far east!			far																							but too far east !
highly highly highly recommended!			recommended																							highly highly highly recommended !
it's the only place you can get yummy authentic japanese comfort food	japanese comfort food	positive	authentic																							it 's the only place you can get yummy authentic japanese comfort food
we came here on a crowded saturday night and were seated right away despite being 15 minutes late for our reservation	seated	positive	late																							we came here on a crowded saturday night and were seated right away despite being 15 minutes late for our reservation
this place is cool enough to be in the east village, but french enough to make you feel like you could be in a bistro in a back alley in paris			cool																							this place is cool enough to be in the east village , but french enough to make you feel like you could be in a bistro in a back alley in paris
we were fast to order the appetizer platter since we were very hungry	appetizer platter	neutral	fast																							we were fast to order the appetizer platter since we were very hungry
no dress codes, no attitudes, plenty of comfort companionship, a great place to relax in an always busy midtown	dress codes	positive	great		attitudes	positive	place	positive																		no dress codes , no attitudes , plenty of comfort companionship , a great place to relax in an always busy midtown
largest and freshest pieces of sushi, and delicious!	pieces of sushi	positive	largest	freshest							delicious															largest and freshest pieces of sushi , and delicious !
even the pasta is delicious here (a rarity in new york pizza restaurants)	pasta	positive	delicious																							even the pasta is delicious here ( a rarity in new york pizza restaurants )
but when we looked at the menu, there weren't a lot of choices, most of them were dumplings in the appetizer section	menu	negative	a lot of		dumplings	neutral	appetizer	negative																		but when we looked at the menu , there were n't a lot of choices , most of them were dumplings in the appetizer section
